#"+ESI Scan (2.987-9.305 min, 382 Scans) Frag=175.0V sk_75FA_75degrees_30min_241105.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
0,55.9335,159.483367919922
1,68.0283,194.562866210938
2,68.0613,124.274032592773
3,69.9402,109.05590057373
4,71.9258,841.498107910156
5,72.9328,217.7099609375
6,73.0850,104.444000244141
7,76.0266,380.966400146484
8,77.9853,164.776428222656
9,80.0549,152.904174804688
10,80.9260,474.436920166016
11,82.0380,440.655181884766
12,83.9463,162.248504638672
13,84.0189,158.010848999023
14,86.9133,250.810607910156
15,87.9360,160.880783081055
16,88.9359,109.61351776123
17,89.9211,353.285583496094
18,89.9416,429.762512207031
19,92.0309,129.416641235352
20,92.0604,108.582977294922
21,94.0573,177.334869384766
22,94.0782,193.388931274414
23,95.9490,175.676864624023
24,96.0521,961.602478027344
25,96.9550,501.621063232422
26,97.0531,102.922286987305
27,97.9526,315.176422119141
28,97.9750,225.781555175781
29,98.0337,521.50830078125
30,98.0707,253.615341186523
31,98.9356,1192.22900390625
32,99.0619,132.33918762207
33,99.9329,204.856628417969
34,100.0446,348.145568847656
35,101.1147,10246.240234375
36,101.2082,253.676803588867
37,101.9413,137.418762207031
38,102.0304,126.555526733398
39,102.1179,789.294677734375
40,104.0386,292.741302490234
41,104.0616,270.582214355469
42,104.9222,421.352569580078
43,105.9763,332.332427978516
44,106.0671,431.849243164063
45,107.0661,302.414276123047
46,107.9061,103.552238464355
47,108.0583,1377.95715332031
48,108.0935,828.308166503906
49,108.9312,204.456680297852
50,109.0579,186.27619934082
51,110.0358,2320.88793945313
52,110.0732,1190.41552734375
53,110.9588,118.2890625
54,111.0445,218.200942993164
55,111.9623,106.134056091309
56,112.0489,504.775726318359
57,112.9504,974.686096191406
58,113.0740,210.834579467773
59,113.9546,239.365921020508
60,114.0610,650.489929199219
61,114.9563,453.441436767578
62,115.0556,104.506187438965
63,115.9588,313.683837890625
64,116.9367,137.35466003418
65,117.0761,460.081970214844
66,117.1135,200.889419555664
67,117.9317,209.826705932617
68,118.0696,301.232879638672
69,120.0272,289.548980712891
70,120.0817,659.408142089844
71,121.0817,726.098449707031
72,121.9524,135.985610961914
73,122.0678,3501.30419921875
74,123.0714,529.576599121094
75,124.0558,576.1376953125
76,124.0873,376.463531494141
77,126.0606,541.667846679688
78,127.9413,405.805877685547
79,128.0420,955.714172363281
80,128.9720,169.975311279297
81,129.0441,158.460556030273
82,129.1438,190.031295776367
83,129.9656,186.048812866211
84,130.0560,270.569061279297
85,130.9634,292.946441650391
86,131.9575,151.20915222168
87,132.0802,186.974349975586
88,132.9548,135.891143798828
89,133.9733,287.039184570313
90,134.0446,283.900634765625
91,134.0789,311.045623779297
92,134.1070,204.295547485352
93,135.0701,128.692077636719
94,136.0803,798.6533203125
95,137.0779,216.854797363281
96,138.0341,1063.35144042969
97,138.0706,865.313354492188
98,138.1021,446.841003417969
99,139.0140,119.110633850098
100,139.0755,106.933731079102
101,139.9632,124.543983459473
102,140.0737,510.934387207031
103,140.9494,149.282608032227
104,142.0272,112.365753173828
105,144.0250,117.361267089844
106,146.0534,554.199890136719
107,147.0076,118.782669067383
108,148.0111,1840.17980957031
109,148.0932,336.627288818359
110,149.0123,199.365005493164
111,149.0928,306.957916259766
112,149.1205,262.148620605469
113,150.0851,453.813720703125
114,152.0759,559.99169921875
115,153.9703,249.326416015625
116,154.0700,474.363067626953
117,154.0985,428.336730957031
118,156.0387,435.216094970703
119,156.9879,234.200637817383
120,157.9666,178.098983764648
121,158.1072,122.728584289551
122,159.9754,124.215110778809
123,162.0872,247.625076293945
124,164.0740,529.364074707031
125,166.0899,530.203857421875
126,168.0719,1627.89318847656
127,169.0775,201.846603393555
128,170.0051,195.083618164063
129,170.0819,223.752258300781
130,170.9844,106.41300201416
131,171.0834,154.199264526367
132,171.9784,285.060180664063
133,172.0669,159.120513916016
134,173.9659,142.847030639648
135,174.0479,497.066040039063
136,174.1022,189.087783813477
137,176.0746,234.867385864258
138,176.1190,192.483673095703
139,178.0932,452.869476318359
140,180.0820,528.754577636719
141,180.1135,426.765319824219
142,182.0861,486.258636474609
143,184.0698,257.321228027344
144,185.0963,143.415954589844
145,185.2033,157.301345825195
146,186.0428,150.169387817383
147,187.9800,171.4091796875
148,188.0814,124.947608947754
149,190.0771,161.241012573242
150,192.0964,327.352844238281
151,193.1019,160.939910888672
152,194.1014,400.994445800781
153,196.0913,213.409027099609
154,198.0575,206.32080078125
155,198.1589,130.660339355469
156,198.9734,107.280380249023
157,199.9793,163.689697265625
158,200.0820,145.012573242188
159,201.0825,113.35587310791
160,202.0408,980.445861816406
161,203.0475,121.358840942383
162,204.0628,211.158065795898
163,204.1149,165.74153137207
164,206.0871,159.676055908203
165,206.1345,122.093338012695
166,208.0743,278.553924560547
167,208.1151,281.186309814453
168,210.1004,285.152221679688
169,212.0667,205.707962036133
170,214.0630,144.514862060547
171,216.0753,244.335311889648
172,218.1185,144.275665283203
173,220.0907,197.479629516602
174,221.0992,141.409378051758
175,222.0861,294.915100097656
176,223.1128,687.631469726563
177,224.0957,304.669586181641
178,226.0892,267.082427978516
179,228.0303,142.600738525391
180,229.0313,141.533325195313
181,230.0348,429.628112792969
182,232.0501,597.301330566406
183,234.1233,184.153701782227
184,236.1213,306.417266845703
185,237.0268,162.211212158203
186,238.1083,301.362854003906
187,240.0951,206.646575927734
188,242.0809,177.126220703125
189,244.0645,359.118011474609
190,245.9801,196.203796386719
191,246.1307,101.566284179688
192,248.0452,191.980758666992
193,248.1462,129.641052246094
194,250.1183,316.635894775391
195,252.1203,308.314300537109
196,254.1078,290.845092773438
197,255.1030,175.975967407227
198,256.0845,145.356887817383
199,257.0345,194.966598510742
200,260.0431,1176.4365234375
201,261.0446,131.308319091797
202,262.0330,103.422813415527
203,263.9943,168.576156616211
204,265.0217,234.846160888672
205,266.1152,372.479125976563
206,268.1138,245.315231323242
207,270.1038,157.935287475586
208,272.0657,497.869873046875
209,273.9735,253.454360961914
210,276.0192,102.421897888184
211,276.1416,113.591041564941
212,278.1432,173.565124511719
213,278.2254,110.527572631836
214,280.1054,200.407150268555
215,282.1164,239.194763183594
216,282.2409,226.652969360352
217,283.0870,308.442626953125
218,284.0960,173.892288208008
219,285.0332,178.766952514648
220,286.0892,120.87434387207
221,288.0381,2191.05322265625
222,289.0399,247.041595458984
223,290.0276,141.276473999023
224,291.9838,319.597381591797
225,292.1461,165.084030151367
226,293.0098,121.197158813477
227,294.1391,272.921447753906
228,296.1121,205.932052612305
229,298.1083,159.299423217773
230,300.0461,129.796295166016
231,301.9740,173.077728271484
232,302.1208,396.523223876953
233,303.1352,145.350921630859
234,304.0120,146.394485473633
235,306.1459,118.776458740234
236,308.1461,201.180938720703
237,310.1302,231.048797607422
238,310.2828,123.476226806641
239,311.0889,127.595657348633
240,312.1311,227.949295043945
241,316.0355,389.773559570313
242,318.0138,102.284767150879
243,318.9725,138.744400024414
244,319.9771,385.62890625
245,322.1280,155.244400024414
246,324.1446,158.115814208984
247,324.2681,112.011749267578
248,326.1208,166.792327880859
249,327.9743,157.377136230469
250,328.1283,132.619262695313
251,333.1685,101.901527404785
252,335.1806,121.948936462402
253,338.0951,111.13875579834
254,340.1383,134.175674438477
255,347.9774,135.385620117188
256,351.3234,387.347381591797
257,352.3231,139.668746948242
258,354.0944,107.883895874023
259,358.2068,259.583770751953
260,361.1970,100.223213195801
261,370.0887,274.224517822266
262,371.0863,114.105812072754
263,372.0846,116.630516052246
264,377.1956,174.563034057617
265,388.0999,101.253425598145
266,390.2618,112.154960632324
267,418.0617,177.434951782227
268,444.0991,335.117034912109
269,464.0719,145.973831176758
270,473.0511,370.013092041016
271,473.2356,271.812164306641
272,474.0590,549.846801757813
273,475.0606,129.79655456543
274,481.7264,110.43537902832
275,490.8684,153.826614379883
276,491.1996,117.038551330566
277,498.0976,105.326789855957
278,500.0878,512.759460449219
279,501.0915,137.064437866211
280,510.0411,146.968231201172
281,520.0618,171.072509765625
282,528.0676,118.853851318359
283,529.0411,680.134216308594
284,530.0483,835.804809570313
285,531.0505,200.414276123047
286,532.0536,110.449905395508
287,538.1139,121.734596252441
288,553.1582,196.208358764648
289,554.1196,196.385726928711
290,556.0783,514.117065429688
291,557.0836,154.493408203125
292,558.0658,101.958221435547
293,566.0254,183.868240356445
294,568.0206,100.071563720703
295,576.0520,141.182998657227
296,585.0296,644.884887695313
297,586.0368,842.006774902344
298,587.0387,217.072494506836
299,588.0407,121.59619140625
300,609.1649,137.296112060547
301,622.0090,103.168167114258
302,627.1778,151.536376953125
303,628.0996,123.577865600586
304,642.0175,107.146087646484
305,650.8069,110.92456817627
306,660.8204,130.53303527832
307,683.1849,105.282150268555
308,684.0569,136.514633178711
309,709.6510,327.033813476563
310,727.2986,109.411781311035
311,735.8044,281.131561279297
312,945.8000,297.044891357422
313,946.1304,438.626892089844
314,946.4650,368.063049316406
315,946.8017,226.737640380859
316,947.1301,107.991790771484
317,963.7728,144.069061279297
318,964.1011,152.297653198242
319,964.4384,119.885055541992
320,1078.4706,185.344284057617
321,1079.4868,104.879112243652
322,1232.6241,734.327453613281
323,1233.6287,486.568542480469
324,1234.6292,200.786437988281
