#"+ESI Scan (2.773-10.003 min, 437 Scans) Frag=175.0V sk_bpc_157_75FA_75degrees_1h_241107_T01.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
0,54.0480,106.963844299316
1,54.9239,156.826110839844
2,55.9331,427.845581054688
3,59.9758,104.873947143555
4,68.0322,251.81901550293
5,68.0623,220.131652832031
6,69.9399,203.529647827148
7,70.9336,146.3310546875
8,71.9262,1803.35681152344
9,71.9793,270.78564453125
10,72.9329,467.004913330078
11,73.0846,122.536437988281
12,73.9396,194.350006103516
13,76.0268,640.274536132813
14,77.9725,340.372314453125
15,77.9906,404.756286621094
16,79.9334,128.948181152344
17,80.0547,193.929458618164
18,80.9260,1176.75170898438
19,82.0383,655.855346679688
20,82.9298,127.256530761719
21,83.9467,507.174926757813
22,84.0169,220.268447875977
23,84.9297,149.640762329102
24,86.9132,637.685119628906
25,87.9239,398.881225585938
26,87.9562,278.100311279297
27,88.0469,245.207305908203
28,88.9347,186.48518371582
29,89.9214,594.966003417969
30,89.9418,735.121215820313
31,90.0384,123.388954162598
32,92.0301,208.388778686523
33,92.0609,162.833938598633
34,94.0570,202.564376831055
35,94.0782,217.951766967773
36,95.0575,107.445037841797
37,95.9493,299.361938476563
38,96.0525,1095.77990722656
39,96.9556,843.5478515625
40,97.0532,136.798614501953
41,97.9592,587.871337890625
42,98.0329,617.810119628906
43,98.0708,278.657104492188
44,98.9357,2202.44848632813
45,99.0632,322.557678222656
46,99.9328,371.387939453125
47,100.0446,502.902862548828
48,101.0079,141.786880493164
49,101.1149,7879.150390625
50,101.2083,205.294097900391
51,101.9546,321.333648681641
52,102.0307,201.348159790039
53,102.1180,626.129455566406
54,104.0376,473.701110839844
55,104.0615,419.750030517578
56,104.9223,883.742309570313
57,105.0327,177.698394775391
58,105.9771,773.46484375
59,106.0641,675.338684082031
60,106.9359,128.302474975586
61,107.0659,457.316589355469
62,107.9062,185.928604125977
63,108.0582,1747.57861328125
64,108.0934,1015.24078369141
65,108.9313,489.8046875
66,109.0588,247.482833862305
67,110.0345,3323.92016601563
68,110.0711,1367.85327148438
69,110.1070,653.783935546875
70,110.9581,173.095764160156
71,111.0440,308.224182128906
72,111.9630,181.298309326172
73,112.0501,526.79052734375
74,112.9504,1517.93334960938
75,113.0770,629.370727539063
76,113.9530,358.824615478516
77,114.0614,868.809204101563
78,114.9512,757.208068847656
79,115.0430,373.958831787109
80,115.9602,586.480285644531
81,116.0449,163.695419311523
82,116.9367,241.868255615234
83,117.0745,684.036010742188
84,117.9314,323.924499511719
85,118.0687,424.407440185547
86,119.0486,161.252227783203
87,120.0713,886.152648925781
88,121.0815,856.432556152344
89,121.9527,260.128265380859
90,122.0679,4086.55834960938
91,122.1669,120.35725402832
92,123.0720,850.567626953125
93,123.9712,118.602516174316
94,124.0545,753.096618652344
95,124.0867,450.350494384766
96,125.0617,114.720314025879
97,125.9468,153.971145629883
98,126.0599,678.453125
99,127.9415,668.466674804688
100,128.0417,1212.50524902344
101,128.9778,282.267547607422
102,129.0533,211.32243347168
103,129.1439,192.630844116211
104,129.9653,276.715728759766
105,130.0565,379.007843017578
106,130.9628,390.263031005859
107,131.0639,126.970169067383
108,131.9568,247.125091552734
109,132.0770,285.851318359375
110,132.9551,195.232269287109
111,133.0525,330.186645507813
112,133.9742,586.574157714844
113,134.0077,467.043334960938
114,134.0417,515.069152832031
115,134.0784,437.552795410156
116,134.1070,309.257690429688
117,135.0697,168.710113525391
118,136.0796,802.210632324219
119,137.0766,239.777114868164
120,138.0317,1440.55114746094
121,138.0706,1007.13098144531
122,138.1028,574.704467773438
123,139.0180,157.194305419922
124,139.9614,200.588256835938
125,140.0725,521.09375
126,140.9494,189.98454284668
127,142.0294,168.563674926758
128,144.0147,158.458236694336
129,145.0614,143.611053466797
130,146.0512,613.598999023438
131,147.0076,188.706817626953
132,147.0685,127.322235107422
133,148.0109,3269.56909179688
134,148.0926,480.974334716797
135,149.0155,370.121276855469
136,149.1061,434.272491455078
137,150.0815,725.299743652344
138,151.0709,139.196746826172
139,152.0778,638.795837402344
140,153.0752,104.658683776855
