#"+ESI Scan (2.982-10.344 min, 445 Scans) Frag=175.0V sk_90FA_75degrees_30min_241105.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
0,55.9327,131.262924194336
1,58.0383,110.163993835449
2,68.0314,192.549621582031
3,68.0614,143.789123535156
4,71.9258,445.508697509766
5,72.9330,107.352142333984
6,73.0842,131.751708984375
7,76.0267,504.557464599609
8,77.9852,108.092399597168
9,80.0431,233.427093505859
10,80.0628,260.887847900391
11,80.9259,321.656524658203
12,82.0380,398.024841308594
13,83.9463,143.835052490234
14,84.0215,159.007095336914
15,84.0572,109.40372467041
16,86.9130,163.113861083984
17,87.9233,111.676750183105
18,89.9195,135.036376953125
19,89.9414,153.582412719727
20,92.0332,160.976455688477
21,92.0612,140.383239746094
22,94.0571,278.193908691406
23,94.0783,308.456115722656
24,96.0520,1729.86047363281
25,96.9558,321.379547119141
26,97.0546,170.666488647461
27,97.9620,224.318313598633
28,98.0347,733.659912109375
29,98.0709,366.383178710938
30,98.9357,436.257171630859
31,99.0633,143.479354858398
32,99.9311,111.521476745605
33,100.0454,663.240173339844
34,101.1146,11792.978515625
35,101.2080,293.024230957031
36,102.0318,146.523849487305
37,102.1180,917.708679199219
38,104.0396,398.296905517578
39,104.0617,392.863800048828
40,104.9221,193.385711669922
41,105.0545,101.45450592041
42,105.9768,209.11408996582
43,106.0682,635.429260253906
44,107.0651,318.861328125
45,107.9021,129.706192016602
46,108.0566,2526.44067382813
47,108.0931,1325.83728027344
48,108.9302,146.429763793945
49,109.0576,290.052703857422
50,109.0944,137.648101806641
51,110.0391,2806.1865234375
52,110.0730,1947.09045410156
53,111.0454,272.958465576172
54,111.0755,190.561477661133
55,112.0488,915.414306640625
56,112.9502,483.213256835938
57,113.0721,241.131896972656
58,113.9547,130.617797851563
59,114.0609,1299.26538085938
60,114.9535,346.692901611328
61,115.0575,146.972122192383
62,115.9602,214.501861572266
63,116.0486,130.654373168945
64,117.0772,557.073425292969
65,118.0704,520.52978515625
66,119.0663,104.883079528809
67,120.0823,1086.38732910156
68,121.0818,833.19287109375
69,122.0675,5451.2177734375
70,122.1671,154.358108520508
71,123.0713,761.172424316406
72,124.0553,972.110961914063
73,124.0873,643.048767089844
74,125.0601,122.023681640625
75,126.0613,960.106628417969
76,127.0626,108.160537719727
77,127.9416,205.833068847656
78,128.0441,764.710021972656
79,128.9749,106.75830078125
80,129.0514,165.217895507813
81,129.1444,256.103881835938
82,129.9672,114.058219909668
83,130.0571,476.186920166016
84,130.9578,165.291931152344
85,131.0649,128.50456237793
86,131.9977,292.876190185547
87,132.0799,293.314025878906
88,133.9938,225.546997070313
89,134.0465,429.934539794922
90,134.0775,486.801483154297
91,134.1064,301.594543457031
92,135.0731,161.485931396484
93,136.0800,1383.041015625
94,137.0787,301.831878662109
95,138.0375,1595.24035644531
96,138.0708,1458.22998046875
97,138.1021,761.095520019531
98,139.0577,167.005889892578
99,140.0743,893.726928710938
100,141.0770,112.937896728516
101,142.0591,191.244171142578
102,144.0661,174.582077026367
103,145.0618,106.34642791748
104,146.0611,453.685913085938
105,146.1057,295.198577880859
106,147.0649,104.852729797363
107,148.0219,2953.3154296875
108,149.0549,402.481292724609
109,149.1194,264.172332763672
110,150.0706,798.721008300781
111,151.0673,137.14338684082
112,152.0750,1018.41674804688
113,153.0784,136.963607788086
114,153.9691,186.424575805664
115,154.0703,829.840698242188
116,154.0984,798.046936035156
117,155.0855,121.560424804688
118,156.0403,475.473876953125
119,156.0783,314.031463623047
120,156.9906,129.221237182617
121,157.9675,102.348297119141
122,158.0853,204.163970947266
123,160.0811,250.426162719727
124,162.0883,391.146697998047
125,164.0772,819.2216796875
126,165.0811,135.013977050781
127,166.0887,949.616149902344
128,167.0893,127.624137878418
129,168.0717,3459.017578125
130,169.0768,409.155639648438
131,170.0790,379.10693359375
132,171.0845,170.596954345703
133,171.9780,165.131805419922
134,172.0767,223.634216308594
135,174.0534,398.478240966797
136,174.1041,276.683166503906
137,176.0840,383.441223144531
138,176.1186,307.301208496094
139,177.1047,111.284126281738
140,178.0927,831.537414550781
141,179.0918,137.644119262695
142,180.0842,723.262634277344
143,180.1162,579.307556152344
144,181.0957,104.666893005371
145,182.0865,915.775756835938
146,183.0903,138.739685058594
147,184.0735,438.245208740234
148,184.1089,310.295349121094
149,185.0937,182.17546081543
150,185.2031,218.655532836914
151,186.0796,229.958740234375
152,188.0731,139.651641845703
153,190.0908,309.987365722656
154,192.1001,563.549987792969
155,193.1035,200.125122070313
156,194.1003,656.283752441406
157,195.1039,111.554679870605
158,196.0946,357.192749023438
159,198.0763,299.330108642578
160,198.1324,192.494216918945
161,199.9801,105.822212219238
162,200.0856,231.619216918945
163,201.0871,134.890151977539
164,202.0423,961.555114746094
165,203.0706,118.520248413086
166,204.0981,261.93359375
167,206.0871,286.247467041016
168,206.1316,206.256240844727
169,208.0966,520.392822265625
170,210.1039,485.620422363281
171,212.0881,302.507690429688
172,213.0796,171.469345092773
173,214.0911,224.423049926758
174,216.0906,198.711441040039
175,218.1122,247.241744995117
176,220.1019,321.408386230469
177,221.1016,157.653610229492
178,222.0927,433.524322509766
179,223.1124,682.087829589844
180,224.0976,497.162109375
181,225.0907,102.564788818359
182,226.1046,480.521148681641
183,227.1108,126.431335449219
184,228.0783,179.666107177734
185,230.0362,676.993347167969
186,230.1298,171.656661987305
187,232.0546,241.716094970703
188,232.1171,182.351531982422
189,234.1234,272.373992919922
190,236.0067,125.797752380371
191,236.1169,542.310485839844
192,237.1200,106.160224914551
193,238.1112,471.933471679688
