#"+ESI Scan (2.973-10.501 min, 455 Scans) Frag=175.0V sk_bpc_157_95FA_95degrees_3h_241101_T01.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
0,68.0301,211.585586547852
1,73.0839,121.231338500977
2,76.0260,200.300872802734
3,80.0556,163.482925415039
4,82.0374,281.062103271484
5,84.0187,131.303512573242
6,94.0571,181.913864135742
7,94.0777,197.26643371582
8,96.0515,1055.99499511719
9,96.9556,237.186614990234
10,97.0569,117.112968444824
11,98.0341,522.101501464844
12,98.0704,244.154235839844
13,100.0451,524.115600585938
14,101.1141,15625.9130859375
15,101.2073,384.367462158203
16,102.0289,107.228408813477
17,102.1172,1169.07873535156
18,104.0394,189.027145385742
19,104.0612,185.315246582031
20,106.0672,302.980041503906
21,107.0623,111.574760437012
22,108.0579,1386.46667480469
23,109.0595,151.385177612305
24,110.0372,1589.03051757813
25,110.0724,1015.27020263672
26,111.0478,203.93782043457
27,112.0501,529.719299316406
28,112.9502,198.938949584961
29,113.0729,164.936874389648
30,114.0608,1030.64599609375
31,114.9482,347.830322265625
32,115.0682,135.242279052734
33,115.9606,129.332946777344
34,117.0780,410.832275390625
35,117.1136,220.12580871582
36,118.0707,262.085632324219
37,120.0819,671.111145019531
38,121.0810,675.357666015625
39,122.0667,3419.2509765625
40,123.0710,625.477111816406
41,124.0539,669.398559570313
42,124.0863,400.823577880859
43,125.0630,102.505584716797
44,126.0606,701.589782714844
45,128.0421,802.2822265625
46,129.1440,502.548309326172
47,130.0555,363.430969238281
48,132.0677,155.680328369141
49,134.0603,261.554107666016
50,134.1059,165.568664550781
51,136.0795,759.766235351563
52,137.0774,261.622314453125
53,138.0378,787.409240722656
54,138.0716,891.849914550781
55,138.1021,539.045715332031
56,139.0667,105.060150146484
57,140.0740,643.738464355469
58,142.0612,164.914413452148
59,144.0622,114.375915527344
60,145.0611,126.347305297852
61,146.0541,532.662719726563
62,148.0194,1176.79248046875
63,148.0871,321.244018554688
64,149.0347,162.339248657227
65,149.1023,196.380020141602
66,150.0770,419.459289550781
67,152.0746,592.875549316406
68,154.0693,528.453186035156
69,154.0978,488.678741455078
70,156.0408,340.233093261719
71,156.0802,232.221160888672
72,158.0856,120.357872009277
73,160.0865,143.485321044922
74,162.0891,247.338882446289
75,164.0761,620.872619628906
76,165.0809,112.985748291016
77,166.0925,792.854309082031
78,167.0933,106.243141174316
79,168.0707,2742.61962890625
80,169.0768,338.180023193359
81,170.0824,278.733673095703
82,172.0749,169.810485839844
83,173.1283,138.734741210938
84,174.0481,451.559997558594
85,174.1027,174.826583862305
86,176.0857,234.041076660156
87,176.1172,194.604705810547
88,178.0932,510.1220703125
89,179.0891,102.184616088867
90,180.0917,443.258758544922
91,182.0853,760.283081054688
92,183.0899,108.714859008789
93,184.0870,370.529174804688
94,185.0961,130.360595703125
95,185.2044,297.446960449219
96,186.0835,172.178512573242
97,188.0905,178.684600830078
98,190.0943,180.772903442383
99,191.1345,132.581909179688
100,192.0972,327.077484130859
101,193.1014,166.367584228516
102,194.1006,441.671356201172
103,196.0974,245.485687255859
104,198.0842,233.771102905273
105,200.0880,188.318878173828
106,201.0942,235.805252075195
107,202.0418,753.316284179688
108,204.0679,237.119094848633
109,204.1133,196.492523193359
110,206.1017,173.120590209961
111,208.0983,336.472473144531
112,210.1014,326.020812988281
113,212.0919,227.877380371094
114,214.0993,170.292907714844
115,215.1030,125.362670898438
116,216.0841,294.805725097656
117,218.1114,167.212478637695
118,219.1364,186.977661132813
119,220.1089,225.521667480469
120,221.1068,103.126251220703
121,222.1066,292.652923583984
122,223.1117,416.181549072266
123,224.1038,311.100769042969
124,226.1098,485.890686035156
125,227.1094,115.195617675781
126,228.1012,136.520492553711
127,230.0366,296.397552490234
128,230.1606,122.628295898438
129,232.0519,439.448272705078
130,234.1229,186.604278564453
131,236.1213,375.900115966797
132,238.1152,357.83203125
133,240.1131,240.992172241211
134,241.1290,159.428085327148
135,242.1021,253.705184936523
136,244.0734,437.546539306641
137,246.1401,151.160980224609
138,247.1345,106.879135131836
139,248.1017,160.364837646484
140,250.1212,398.20654296875
141,252.1277,330.941925048828
142,254.1131,384.378570556641
143,255.1236,125.320663452148
144,256.1139,155.72770690918
145,258.1123,120.61922454834
146,259.1360,113.401382446289
147,260.0416,989.422607421875
148,261.0462,104.767852783203
149,261.1374,107.501365661621
150,262.1340,114.80965423584
151,264.1304,189.916244506836
152,266.1228,486.121215820313
153,267.1417,117.210990905762
154,268.1270,314.058868408203
155,269.1309,231.970199584961
156,270.1249,188.91877746582
157,271.1174,125.956672668457
158,272.0747,559.380554199219
159,273.1198,117.155731201172
160,276.1405,126.02156829834
161,277.1430,191.070465087891
162,278.1325,246.113815307617
163,280.1272,251.521713256836
164,282.1270,330.895111083984
165,282.2542,130.513458251953
166,283.0994,179.492492675781
167,284.1214,193.449752807617
168,285.1396,112.303352355957
169,286.1305,197.574096679688
170,287.1547,151.438201904297
171,288.0368,1294.08947753906
172,289.0401,149.849395751953
173,289.1422,885.177429199219
174,290.1451,233.229400634766
175,291.1524,131.56999206543
176,292.1549,194.462783813477
177,294.1384,337.698486328125
178,296.1466,236.192962646484
179,298.1260,169.096405029297
180,300.1216,151.81330871582
181,302.1215,553.04833984375
182,303.1471,297.583923339844
183,304.1472,109.952682495117
184,305.1515,153.662063598633
185,306.1567,145.220886230469
186,307.1566,134.633575439453
187,308.1491,241.327438354492
188,310.1437,264.3251953125
189,311.0956,135.902450561523
190,312.1390,267.855224609375
191,314.1366,140.194122314453
192,316.0332,209.893997192383
193,317.1736,228.408950805664
194,318.1694,103.043319702148
195,319.1651,117.552772521973
196,319.9760,165.035110473633
197,321.1538,128.412780761719
198,322.1485,177.212219238281
199,323.1709,183.785385131836
200,324.1669,239.082092285156
201,324.2853,103.878746032715
202,326.1451,181.823867797852
203,328.1421,230.014877319336
204,330.1524,132.190811157227
205,331.1767,190.184661865234
206,333.1697,200.976577758789
207,334.1738,127.36302947998
208,335.1822,382.052978515625
209,336.1780,166.204620361328
210,337.1824,111.828094482422
211,338.1557,138.366195678711
212,340.1532,252.063522338867
213,342.1506,128.447982788086
214,344.1466,141.394622802734
215,345.1841,123.346755981445
216,347.1805,243.301223754883
217,348.1790,106.36775970459
218,349.1906,213.749542236328
219,350.1812,149.20735168457
220,351.1852,179.810989379883
221,352.1705,161.89306640625
222,354.1588,145.575622558594
223,356.1396,159.426116943359
224,358.2101,1283.32177734375
225,359.2097,311.791320800781
226,360.1870,101.430030822754
227,361.1916,214.320739746094
228,363.1987,214.611389160156
229,364.1916,117.100273132324
230,365.1854,123.110740661621
231,366.1717,162.334274291992
232,367.1855,114.301795959473
233,368.1773,165.087631225586
234,370.1627,118.891563415527
235,375.2007,143.749374389648
236,377.1952,253.627914428711
237,379.1954,136.940200805664
238,380.1857,122.22607421875
239,381.2082,225.166870117188
240,382.1801,137.825592041016
241,384.1631,185.064880371094
242,386.1989,540.093933105469
243,387.2081,171.043899536133
244,388.6903,134.997055053711
245,389.2029,175.101837158203
246,390.2562,190.485076904297
247,391.2171,155.528121948242
248,393.2112,125.711814880371
249,395.2149,121.615707397461
250,396.1807,102.577049255371
251,397.2063,112.45817565918
252,398.1898,131.876190185547
253,402.1744,138.216644287109
254,405.2115,114.101844787598
255,407.2125,123.948661804199
256,408.1978,114.333442687988
257,409.2219,286.847137451172
258,410.2110,113.459884643555
259,412.1931,121.298095703125
260,414.1838,114.745750427246
261,418.0601,155.464492797852
262,423.2204,112.992607116699
263,424.2080,117.33406829834
264,437.2187,143.030258178711
265,444.1015,165.207748413086
266,446.2020,117.686805725098
267,455.2436,151.953521728516
268,473.0490,105.949188232422
269,473.2363,319.450439453125
270,474.0557,240.050491333008
271,474.2319,112.432510375977
272,481.7234,112.764595031738
273,482.1890,108.473297119141
274,500.0862,198.842269897461
275,501.2303,541.609619140625
276,502.2326,173.809860229492
277,529.0376,154.086700439453
278,530.0444,389.182037353516
279,538.1226,114.283317565918
280,539.2349,135.015029907227
281,553.2310,150.735656738281
282,556.0795,170.919616699219
283,585.0237,113.55387878418
284,586.0336,284.030731201172
285,607.3019,167.510040283203
286,691.3277,140.586654663086
287,716.4252,472.719604492188
288,717.4263,187.302658081055
289,736.3038,110.459335327148
290,737.3279,100.814460754395
291,750.3000,114.944061279297
292,876.4153,264.10205078125
293,877.4177,136.122512817383
294,991.4407,369.111938476563
295,992.4457,240.061859130859
296,1106.4668,102.048484802246
297,1232.6109,456.553009033203
298,1233.6176,286.927032470703
299,1234.6114,135.170211791992
300,1319.6103,153.188568115234
301,1320.6073,136.388732910156
302,1347.6052,156.404647827148
303,1348.6022,144.086898803711
304,1400.6646,446.75537109375
305,1401.6671,325.053131103516
306,1402.6626,156.136337280273
307,1410.6517,137.411590576172
308,1411.6567,100.717575073242
309,1418.6779,1416.85046386719
310,1419.6819,1075.76428222656
311,1420.6830,475.745056152344
312,1421.6878,165.624237060547
313,1428.6622,583.706481933594
314,1429.6645,338.473968505859
315,1430.6667,178.038009643555
316,1446.6752,1465.45727539063
317,1447.6786,1138.47045898438
318,1448.6792,515.871765136719
319,1449.6810,147.96809387207
320,1463.6981,166.229858398438
321,1464.6880,146.896728515625
322,1804.8820,118.398620605469
323,1805.8935,117.325584411621
