#"+ESI Scan (2.808-10.213 min, 448 Scans) Frag=175.0V sk_95FA_95dgrees_2h_241107.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
0,98.9965,117.717887878418
1,99.0631,224.798278808594
2,99.9307,110.932624816895
3,100.0475,253.158584594727
4,101.1149,7641.31396484375
5,101.2083,191.456909179688
6,101.9349,101.964721679688
7,102.1181,592.899780273438
8,104.0382,181.628280639648
9,104.0617,153.242050170898
10,104.9228,161.21174621582
11,104.9902,141.127471923828
12,105.9780,203.356842041016
13,106.0661,294.685821533203
14,107.0667,313.759704589844
15,108.0608,930.201354980469
16,108.0937,652.605529785156
17,108.9307,124.637474060059
18,109.0602,134.713485717773
19,110.0461,736.561828613281
20,110.0766,693.052368164063
21,111.0506,372.903900146484
22,112.0505,340.280212402344
23,112.9506,689.947326660156
24,113.0755,208.193939208984
25,114.0612,452.041717529297
26,114.9470,1269.677734375
27,115.9581,232.074081420898
28,117.0751,516.492126464844
29,118.0710,219.869766235352
30,120.0788,473.796783447266
31,121.0820,571.219116210938
32,121.9512,112.778686523438
33,122.0682,2552.63012695313
34,123.0027,147.483947753906
35,123.0716,436.614105224609
36,124.0583,481.5693359375
37,124.0872,330.444580078125
38,126.0641,468.919647216797
39,127.9387,206.431640625
40,128.0441,367.459533691406
41,128.9571,101.751708984375
42,129.1454,811.120361328125
43,130.0581,123.401779174805
44,130.9226,133.184906005859
45,130.9951,120.348258972168
46,132.0811,136.005035400391
47,132.9543,208.897476196289
48,133.9727,172.664901733398
49,134.1074,159.582702636719
50,136.0817,594.797790527344
51,137.0790,133.789749145508
52,138.0683,575.914978027344
53,138.1025,332.62890625
54,140.0764,439.006225585938
55,140.9458,194.758987426758
56,145.0595,226.606079101563
57,146.0571,262.612457275391
58,146.1084,125.357925415039
59,148.0110,1884.19165039063
60,148.0897,261.253021240234
61,148.1228,148.385223388672
62,149.0133,204.894470214844
63,149.1097,378.321746826172
64,150.0900,371.380187988281
65,152.0801,451.197052001953
66,154.0711,413.412658691406
67,154.0990,405.848815917969
68,155.9729,103.691711425781
69,156.0759,123.95719909668
70,156.9883,196.609512329102
71,157.9556,122.932151794434
72,158.0906,105.030555725098
73,159.0741,163.917861938477
74,160.0886,117.934791564941
75,162.0926,193.55778503418
76,164.0720,506.825744628906
77,165.0800,107.990829467773
78,166.0931,438.580932617188
79,168.0728,1226.00231933594
80,169.0806,162.761978149414
81,170.0889,199.700073242188
82,171.0855,246.784423828125
83,172.0746,195.955047607422
84,173.1292,119.466979980469
85,174.0617,108.502326965332
86,174.1103,111.800704956055
87,176.0450,159.661148071289
88,176.1197,176.807266235352
89,178.0964,383.451934814453
90,180.0973,316.187866210938
91,182.0840,511.916687011719
92,184.0865,147.183502197266
93,185.0983,240.221008300781
94,185.2047,232.03532409668
95,186.0861,112.609580993652
96,188.0911,123.246673583984
97,190.0939,125.218200683594
98,191.1406,221.299774169922
99,192.1087,271.907989501953
100,192.9585,268.468566894531
101,193.1031,206.404357910156
102,194.1055,400.672912597656
103,196.1049,206.705291748047
104,198.1252,184.671630859375
105,201.0791,215.296508789063
106,202.0954,103.836204528809
107,203.0353,223.753509521484
108,204.0593,442.558715820313
109,206.1139,117.643699645996
110,208.0771,221.819396972656
111,208.1174,246.73258972168
112,208.9316,346.112670898438
113,209.0310,213.514205932617
114,210.1106,262.441101074219
115,210.9667,117.31209564209
116,212.0900,215.574340820313
117,216.0934,220.325439453125
118,218.1205,136.051879882813
119,220.1250,167.488906860352
120,221.1021,146.056228637695
121,222.1161,235.0830078125
122,223.1135,781.996459960938
123,224.1133,250.444869995117
124,225.9958,110.15625
125,226.1172,244.647750854492
126,226.9447,132.099456787109
127,228.0927,103.862823486328
128,232.0516,248.709930419922
129,234.1338,157.971206665039
130,236.1346,283.840667724609
131,238.1233,245.441070556641
132,240.1251,136.815368652344
133,242.1014,919.916076660156
134,243.1070,213.603668212891
135,248.1351,111.139175415039
136,249.9623,212.119598388672
137,250.1337,245.691925048828
138,252.1377,264.466979980469
139,254.1269,195.926818847656
140,254.1909,137.161956787109
141,264.1406,126.437797546387
142,266.1363,251.651245117188
143,266.2229,102.377990722656
144,268.1523,162.639282226563
145,268.2377,114.396537780762
146,276.1584,102.729606628418
147,278.1554,169.27409362793
148,278.2252,112.342582702637
149,280.1736,122.116226196289
150,282.1385,132.176742553711
151,282.2389,181.130920410156
152,286.1386,118.524688720703
153,292.1607,138.012176513672
154,294.1659,172.922729492188
155,296.1968,122.025085449219
156,302.1232,943.289123535156
157,303.1299,243.880554199219
158,308.1785,136.028350830078
159,310.1625,123.098320007324
160,310.2754,108.459915161133
161,312.1406,141.732833862305
162,324.2517,161.307647705078
163,351.3227,296.802581787109
164,352.3205,114.864028930664
165,370.2979,141.873504638672
166,377.1984,158.714324951172
167,388.1078,155.827590942383
168,388.6936,112.441162109375
169,390.2660,205.581695556641
170,417.0624,199.156372070313
171,418.0679,371.281005859375
172,481.7265,152.898864746094
173,515.8901,131.338836669922
174,531.8624,282.593780517578
175,539.2388,127.800994873047
176,609.1671,113.678619384766
177,659.8113,134.645462036133
178,700.3370,101.838325500488
179,876.4262,102.323135375977
180,991.4533,132.081726074219
181,1232.6249,208.110412597656
182,1233.6290,146.287063598633
183,1418.6898,903.510498046875
184,1419.6927,696.154846191406
185,1420.6959,304.829376220703
186,1421.6963,113.029357910156
