#"+ESI Scan (3.109-12.975 min, 596 Scans) Frag=175.0V sk_pepide1_95FA_95degrees_3h_241101_T01.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
0,58.0383,124.104866027832
1,68.0402,143.131805419922
2,68.0618,119.335578918457
3,71.9254,131.283737182617
4,73.0839,152.542572021484
5,76.0263,250.969284057617
6,80.0572,160.701156616211
7,80.9252,103.765419006348
8,83.9471,137.428283691406
9,84.0365,137.480239868164
10,94.0569,232.892608642578
11,94.0779,254.123901367188
12,96.0518,1432.21081542969
13,96.9559,207.87272644043
14,97.0563,154.066772460938
15,98.0349,663.261535644531
16,98.0708,345.379699707031
17,98.9373,179.247589111328
18,100.0463,692.572814941406
19,101.0455,116.795783996582
20,101.1143,13749.677734375
21,101.2075,344.391357421875
22,101.9560,111.678749084473
23,102.1176,1052.03100585938
24,104.0400,226.313858032227
25,104.0616,234.181564331055
26,105.9771,111.601371765137
27,106.0670,365.953826904297
28,107.0636,137.035537719727
29,108.0567,1494.06311035156
30,108.0930,812.748352050781
31,109.0586,165.256622314453
32,110.0577,1186.2373046875
33,111.0542,163.84651184082
34,112.0484,890.229858398438
35,112.9501,242.056838989258
36,113.0687,194.929626464844
37,114.0611,1400.68737792969
38,114.9515,210.909164428711
39,115.0633,129.645248413086
40,115.9608,104.39860534668
41,117.0776,297.332458496094
42,117.1135,161.408264160156
43,118.0706,324.255310058594
44,119.0465,359.633544921875
45,120.0833,818.520874023438
46,121.0815,561.599731445313
47,122.0673,3779.77026367188
48,122.1670,110.020599365234
49,123.0715,616.518737792969
50,124.0538,820.4677734375
51,124.0867,486.65771484375
52,125.0617,101.303680419922
53,126.0614,712.933166503906
54,128.0532,224.15412902832
55,128.0821,159.435119628906
56,129.0377,180.965240478516
57,129.1442,281.145446777344
58,130.0566,561.634521484375
59,132.0755,174.225433349609
60,133.9888,127.498031616211
61,134.0693,319.598907470703
62,134.1063,199.71452331543
63,135.0636,270.660858154297
64,136.0798,975.376831054688
65,137.0791,209.201690673828
66,138.0683,1032.42639160156
67,138.1026,618.24658203125
68,139.0722,124.997383117676
69,140.0741,795.126892089844
70,141.0779,112.647109985352
71,142.0592,218.127319335938
72,144.0560,174.729705810547
73,146.0741,217.280960083008
74,146.1067,178.247619628906
75,148.0204,988.325439453125
76,148.0891,381.122589111328
77,149.1003,294.835998535156
78,150.0824,492.532806396484
79,152.0837,764.741882324219
80,152.1276,631.253723144531
81,153.0912,123.947814941406
82,154.0702,672.004211425781
83,154.0983,646.825073242188
84,156.0775,273.056213378906
85,156.9875,124.765090942383
86,158.0872,152.085418701172
87,160.0846,169.536163330078
88,162.0717,315.861480712891
89,162.1030,292.067565917969
90,164.0798,646.94580078125
91,165.0829,110.048408508301
92,166.0892,772.982788085938
93,167.0896,106.096626281738
94,168.0718,2653.49609375
95,169.0767,316.500213623047
96,170.0824,344.397735595703
97,172.0761,192.153793334961
98,173.1161,136.010345458984
99,174.0919,176.969039916992
100,176.0852,295.225860595703
101,176.1178,237.358505249023
102,178.0929,655.164611816406
103,179.0911,112.241981506348
104,180.0814,534.439697265625
105,180.1126,419.421478271484
106,181.0789,103.713897705078
107,182.0865,788.941223144531
108,183.0974,144.098724365234
109,183.1693,116.750823974609
110,184.0975,431.333038330078
111,185.0969,121.140510559082
112,185.2044,214.951217651367
113,186.0847,201.529998779297
114,188.0963,113.576377868652
115,190.0927,262.56689453125
116,192.1031,430.389129638672
117,193.1034,155.670867919922
118,194.1037,501.265869140625
119,196.0996,295.425506591797
120,198.0869,246.904373168945
121,200.0906,221.243209838867
122,201.1002,151.262847900391
123,202.1088,266.456207275391
124,204.1017,198.731857299805
125,206.0889,225.570083618164
126,206.1309,172.655776977539
127,208.1017,472.837707519531
128,210.1067,417.352600097656
129,212.1029,462.210327148438
130,213.0915,132.683975219727
131,214.1024,205.371871948242
132,215.0925,171.70166015625
133,216.0943,170.902099609375
134,218.1060,233.906234741211
135,219.1341,134.930419921875
136,220.1151,267.386474609375
137,221.1080,103.335807800293
138,222.0934,332.830230712891
139,223.1113,378.067565917969
140,224.1025,407.300109863281
141,226.1070,466.839599609375
142,228.1074,159.506378173828
143,230.1147,248.649887084961
144,232.1105,151.927185058594
145,233.1066,101.135559082031
146,234.1232,209.194763183594
147,236.1175,488.618377685547
148,238.1156,441.403137207031
149,240.1158,260.413787841797
150,242.1057,271.621765136719
151,244.1121,138.907669067383
152,246.1403,170.327972412109
153,248.1257,164.543594360352
154,250.1235,411.365142822266
155,252.1274,355.398590087891
156,254.1115,732.146057128906
157,255.1270,203.136978149414
158,256.1195,230.847946166992
159,258.1104,147.64453125
160,259.1297,119.982414245605
161,260.1256,113.072906494141
162,261.1149,147.595764160156
163,262.1322,132.484451293945
164,264.1333,212.711547851563
165,266.1307,417.069152832031
166,267.1380,103.560638427734
167,268.1307,341.669219970703
168,270.1219,245.274673461914
169,271.1367,228.15380859375
170,272.1230,221.107650756836
171,273.1448,228.47314453125
172,274.1363,107.606796264648
173,275.1379,117.053535461426
174,276.1386,145.942092895508
175,277.1404,253.834228515625
176,278.1420,241.660385131836
177,280.1329,239.474990844727
178,281.1391,140.691802978516
179,282.1346,367.054656982422
180,283.1408,101.690185546875
181,284.1301,219.912216186523
182,286.1334,206.907043457031
183,287.1475,119.303436279297
184,288.1436,165.692657470703
185,289.1436,643.980529785156
186,290.1482,206.142318725586
187,291.1555,164.201797485352
188,292.1527,187.14192199707
189,293.1520,105.148712158203
190,294.1511,310.35546875
191,296.1421,237.595352172852
192,298.1351,264.979339599609
193,299.1458,266.716857910156
194,300.1426,223.856689453125
195,301.1550,116.463821411133
196,302.1266,332.327178955078
197,303.1499,204.624069213867
198,304.1455,102.955444335938
199,305.1464,236.741333007813
200,306.1556,169.126770019531
201,307.1569,124.48991394043
202,308.1561,227.804275512695
203,310.1508,287.954193115234
204,312.1459,238.577758789063
205,314.1497,182.339813232422
206,315.1569,112.464332580566
207,316.1545,196.872955322266
208,317.1645,271.658569335938
209,318.1624,143.697326660156
210,319.1663,187.398910522461
211,320.1661,122.552200317383
212,321.1618,171.449188232422
213,322.1503,194.287979125977
214,323.1768,223.019470214844
215,324.1678,263.252655029297
216,326.1492,209.408248901367
217,327.1466,242.545745849609
218,328.1595,589.568664550781
219,329.1670,164.426467895508
220,330.1568,153.121032714844
221,331.1704,191.825500488281
222,332.1632,111.674583435059
223,333.1703,482.976715087891
224,334.1738,190.681213378906
225,335.1828,622.427124023438
226,336.1790,217.964324951172
227,337.1833,131.377975463867
228,338.1526,311.599273681641
229,339.1661,119.962623596191
230,340.1602,236.969879150391
231,342.1577,174.971450805664
232,344.1569,204.983428955078
233,345.1663,259.482604980469
234,346.1668,324.650329589844
235,347.1784,322.425354003906
236,348.1734,132.89421081543
237,349.1797,254.726608276367
238,350.1754,163.670135498047
239,351.1815,374.463439941406
240,351.3160,172.193450927734
241,352.1782,206.035842895508
242,353.1876,109.991790771484
243,354.1608,160.118530273438
244,356.1604,884.445556640625
245,357.1687,231.276672363281
246,358.1695,145.759231567383
247,359.1830,156.050018310547
248,360.1681,113.802909851074
249,361.1844,274.411865234375
250,362.1763,165.715393066406
251,363.1833,694.497680664063
252,364.1854,222.628341674805
253,365.1900,257.355499267578
254,366.1783,177.512451171875
255,367.1813,204.618545532227
256,368.1755,202.509719848633
257,369.0988,252.782028198242
258,370.1458,158.426940917969
259,372.1681,161.935440063477
260,373.1902,189.258270263672
261,374.1715,833.04443359375
262,375.1857,400.276245117188
263,376.1885,143.20198059082
264,377.1928,379.634490966797
265,378.1846,153.055145263672
266,379.1899,370.887054443359
267,380.1931,442.391052246094
268,381.2031,338.431671142578
269,382.1843,178.285415649414
270,383.1945,145.23796081543
271,384.1713,250.456420898438
272,385.1901,101.978973388672
273,386.1828,197.609603881836
274,387.1433,159.492568969727
275,388.1778,130.01936340332
276,389.1990,214.972747802734
277,390.2233,161.651168823242
278,391.2085,284.850677490234
279,392.2042,130.560134887695
280,393.2038,274.187255859375
281,394.1947,139.227508544922
282,395.1990,206.340301513672
283,396.1742,235.48779296875
284,397.2035,228.830047607422
285,398.1903,177.182693481445
286,399.1928,108.722465515137
287,400.1815,133.931488037109
288,401.1946,153.349380493164
289,402.1693,710.055969238281
290,403.1901,262.638824462891
291,404.1578,192.2783203125
292,405.1858,264.854064941406
293,406.1850,122.502212524414
294,407.2054,597.847290039063
295,408.1930,623.604125976563
296,409.2148,619.30712890625
297,410.2069,213.054641723633
298,411.2149,169.533157348633
299,412.1904,156.308364868164
300,413.2052,136.086456298828
301,414.1888,195.413681030273
302,415.2034,107.175888061523
303,416.1978,115.530364990234
304,417.2139,139.549255371094
305,418.2003,109.262023925781
306,419.2030,352.732727050781
307,420.1969,249.875991821289
308,421.2130,336.464752197266
309,422.1809,167.713912963867
310,423.2086,273.703460693359
311,424.1669,290.711791992188
312,425.2123,440.317260742188
313,426.2056,188.699935913086
314,427.0997,122.566841125488
315,427.2167,152.148147583008
316,427.6621,113.460205078125
317,428.1830,182.855865478516
318,429.2132,117.590873718262
319,430.2017,137.58479309082
320,431.2036,144.740173339844
321,432.2121,121.572387695313
322,433.2073,182.685729980469
323,434.2088,114.778953552246
324,435.2178,258.662536621094
325,436.2074,143.348266601563
326,437.2181,716.332153320313
327,438.2143,240.619873046875
328,439.2115,390.736083984375
329,440.2036,187.865570068359
330,441.2106,243.659515380859
331,442.1990,182.703475952148
332,443.2193,135.40380859375
333,444.2086,121.587142944336
334,445.2275,131.329559326172
335,446.2145,154.386474609375
336,447.2232,184.763870239258
337,448.2168,121.950752258301
338,449.2260,220.059753417969
339,450.1500,243.415313720703
340,451.2215,256.048431396484
341,452.1915,147.874786376953
342,453.2279,416.0244140625
343,454.2184,186.394454956055
344,454.6223,113.363388061523
345,455.2343,303.506500244141
346,456.2093,157.532913208008
347,457.2293,156.448257446289
348,458.2169,145.837005615234
349,459.1908,244.390655517578
350,460.2098,159.227767944336
351,461.2247,175.23307800293
352,462.2240,102.668510437012
353,463.2339,222.922897338867
354,464.2082,111.897651672363
355,465.2389,347.971893310547
356,466.2039,174.941055297852
357,467.2339,278.565368652344
358,468.2207,139.786361694336
359,468.6191,115.432258605957
360,469.2271,232.695114135742
361,470.2203,149.421890258789
362,471.2401,245.387344360352
363,472.2306,150.257247924805
364,473.2337,117.137641906738
365,475.2364,149.083251953125
366,476.2295,139.702575683594
367,477.2238,259.360534667969
368,478.2224,124.691741943359
369,479.2411,235.722869873047
370,480.2377,117.030746459961
371,481.2412,556.113891601563
372,482.2286,205.310791015625
373,483.2515,477.78662109375
374,484.2395,182.493682861328
375,485.2494,174.616287231445
376,486.2304,119.353897094727
377,487.2011,226.007888793945
378,488.2169,144.872772216797
379,489.2320,128.139526367188
380,491.2435,161.570281982422
381,492.1741,128.216522216797
382,493.2435,319.355102539063
383,494.2045,163.375015258789
384,495.2477,343.341583251953
