#"+ESI Scan (7.951-10.604 min, 161 Scans) Frag=175.0V sk_vip_95FA_95degrees_3h_241101_T01.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
0,57.0534,129.882186889648
1,58.0386,111.066833496094
2,68.0395,104.061546325684
3,71.0685,126.899520874023
4,71.9256,108.74095916748
5,73.0843,313.710571289063
6,76.0263,217.522994995117
7,80.0565,158.538009643555
8,94.0695,182.927780151367
9,96.0517,1096.66369628906
10,96.9564,135.366394042969
11,97.0608,123.766059875488
12,98.0355,419.892730712891
13,98.0713,247.620162963867
14,98.9353,108.885559082031
15,100.0464,604.393737792969
16,101.1143,28140.560546875
17,101.2074,743.624694824219
18,102.1175,2129.27172851563
19,104.0397,189.590255737305
20,104.0617,186.0966796875
21,106.0666,255.658096313477
22,107.0628,120.556007385254
23,108.0560,1378.11096191406
24,109.0582,227.492813110352
25,110.0445,826.71533203125
26,110.0731,737.872985839844
27,111.0568,129.920227050781
28,112.0498,493.02783203125
29,112.9503,156.873886108398
30,113.0744,188.236328125
31,114.0599,1246.486328125
32,114.9489,153.499313354492
33,115.0630,126.897926330566
34,117.0784,188.758743286133
35,117.1141,113.064247131348
36,118.0709,246.174240112305
37,119.0658,383.626007080078
38,120.0828,675.654296875
39,121.0813,494.532409667969
40,122.0669,2904.44995117188
41,123.0710,523.960815429688
42,124.0541,666.465881347656
43,126.0606,766.826354980469
44,128.0627,177.835983276367
45,129.1442,214.887084960938
46,130.0570,423.089141845703
47,131.0639,222.723297119141
48,132.0674,141.730987548828
49,134.0619,222.637420654297
50,134.1063,143.02326965332
51,135.0663,182.846450805664
52,136.0788,636.422241210938
53,137.0760,200.178421020508
54,138.0700,794.036926269531
55,138.1030,527.181030273438
56,140.0745,652.26171875
57,142.0796,225.171127319336
58,144.0642,116.706405639648
59,146.0701,148.816467285156
60,146.1057,103.939575195313
61,148.0250,871.887756347656
62,148.0908,289.132110595703
63,149.0341,134.055206298828
64,149.1069,254.78955078125
65,150.0652,362.532897949219
66,150.1054,255.201538085938
67,152.0719,522.45703125
68,154.0695,488.391906738281
69,154.0981,448.121185302734
70,156.0773,200.237045288086
71,158.0871,108.257843017578
72,160.0867,126.854949951172
73,162.0898,209.231643676758
74,164.0793,508.560302734375
75,165.0740,120.363021850586
76,166.0883,646.794067382813
77,168.0709,3139.92114257813
78,169.0756,362.104705810547
79,170.0854,312.561401367188
80,172.0822,151.00520324707
81,174.0917,104.849258422852
82,176.0856,205.561279296875
83,176.1172,158.887573242188
84,178.0921,431.868286132813
85,180.0828,430.030334472656
86,180.1156,309.946746826172
87,182.0859,760.169067382813
88,183.0882,114.399299621582
89,184.0915,457.524505615234
90,185.0959,107.604270935059
91,185.2046,174.067337036133
92,186.0839,191.360260009766
93,190.0941,181.205261230469
94,192.0998,253.416717529297
95,193.1013,111.106369018555
96,194.1007,358.491577148438
97,196.0951,231.731262207031
98,198.0850,238.531326293945
99,200.0924,216.109573364258
100,201.0894,105.20979309082
