Show/Hide,Cpd,Label,Name,Formula,Score,Mass,Avg Mass,Std Dev,Reference mass,Mass (MFG),Relative Mass Difference (MFG),Mass Difference (MFG),Base Peak,Precursor,Ion Polarity,Max Z,Min Z,Start,RT,End,Reference Retention Time,RT Diff,Height,Width,Area,Volume,Vol %,Ions,Z Count,Saturated,ID Source,ID Techniques Applied,Score (MFG),Score (DB),Hit Count,FV,Score (Lib),Relative Reference Mass difference,Reference Mass difference,Group,Cpds/Group,File,Notes,Algorithm,Flags (Tgt),Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt),PCombinedIDResults1_ID,ExternalKey,ID,m/z,Height,RT,RT Diff,SNR,FV,CE,Coelution Score,Flags(FIs),Confirm. Flag,Compound Name
TRUE,1,Cpd 1: 0.258,,,,173.1401,173.2497,,,,,,174.1473,174.1473,Positive,1,1,0.15,0.258,0.382,,,4214,0.098,,23033,0.02,2,1,,,,,,,,,,,1,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,2,Cpd 2: 1.673,,,,783.2687,783.6614,,,,,,784.276,784.276,Positive,1,1,1.643,1.673,1.692,,,264,0.038,,1183,0,2,1,,,,,,,,,,,2,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,3,Cpd 3: 1.729,,,,670.9179,671.6407,,,,,,671.9252,671.9252,Positive,1,1,1.692,1.729,1.759,,,461,0.056,,2348,0,3,1,,,,,,,,,,,3,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,4,Cpd 4: 1.782,,,,747.1275,747.4609,,,,,,748.1348,748.1348,Positive,1,1,1.742,1.782,1.858,,,416,0.069,,2257,0,2,1,,,,,,,,,,,4,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,5,Cpd 5: 3.488,,,,174.083,174.1616,,,,,,175.0902,175.0902,Positive,1,1,3.417,3.488,3.566,,,6423,0.06,,24826,0.02,2,1,,,,,,,,,,,5,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,6,Cpd 6: 3.561,,,,344.174,344.3166,0.0013,,,,,345.1816,345.1816,Positive,1,1,3.467,3.561,3.649,,,3506,0.055,,13544,0.01,4,1,,,,,,,,,,,6,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,7,Cpd 7: 3.574,,,,344.2136,344.3647,,,,,,345.2208,345.2208,Positive,1,1,3.5,3.574,3.748,,,5459,0.1,,35859,0.03,2,1,,,,,,,,,,,7,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,8,Cpd 8: 3.579,,,,608.3338,608.5129,0.0024,,,,,609.34,609.34,Positive,2,1,3.533,3.579,3.632,,,381,0.06,,2572,0,3,2,,,,,,,,,,,8,2,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,9,Cpd 9: 3.583,,,,293.9248,294.0721,,,,,,294.9321,294.9321,Positive,1,1,3.549,3.583,3.616,,,1143,0.043,,3788,0,2,1,,,,,,,,,,,8,2,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,10,Cpd 10: 4.261,,,,266.0302,266.1387,0.0019,,,,,267.0373,267.0373,Positive,1,1,4.196,4.261,4.329,,,2126,0.065,,11469,0.01,3,1,,,,,,,,,,,9,3,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,11,Cpd 11: 4.261,,,,410.089,410.3693,,,,,,411.0963,411.0963,Positive,1,1,4.213,4.261,4.312,,,788,0.057,,4018,0,2,1,,,,,,,,,,,9,3,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,12,Cpd 12: 4.268,,,,426.0625,426.6337,,,,,,427.0698,427.0698,Positive,1,1,4.213,4.268,4.345,,,1177,0.069,,6270,0.01,3,1,,,,,,,,,,,9,3,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,13,Cpd 13: 4.270,,,,516.0508,516.3275,,,,,,517.0581,517.0581,Positive,1,1,4.213,4.27,4.345,,,7635,0.06,,35580,0.03,3,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,14,Cpd 14: 4.271,,,,438.0819,438.8136,,,,,,439.0892,439.0892,Positive,1,1,4.213,4.271,4.379,,,3808,0.071,,28620,0.03,4,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,15,Cpd 15: 4.272,,,,271.974,272.6905,,,,,,272.9813,272.9813,Positive,1,1,4.196,4.272,4.445,,,2248,0.113,,21503,0.02,4,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,16,Cpd 16: 4.272,,,,516.1051,516.4117,,,,,,517.1124,517.1124,Positive,1,1,4.213,4.272,4.379,,,9070,0.077,,50703,0.05,4,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
